State,elapsedMs+phase,turnNumber,activePlayer,priorityPlayer
6, 25261 , "Phase_Main1", 1, 1, 1
5, 25261 , "Phase_Beginning", 1, 1, 2
8, 29937 , "Phase_Main1", 1, 1, 2
23, 1062 , "Phase_Main1", 2, 2, 2
22, 1062 , "Phase_Beginning", 2, 2, 1
21, 1062 , "Phase_Beginning", 2, 2, 2
20, 1062 , "Phase_Beginning", 2, 2, 1
18, 1062 , "Phase_Ending", 1, 1, 2
17, 1062 , "Phase_Ending", 1, 1, 1
16, 1062 , "Phase_Main2", 1, 1, 2
15, 1062 , "Phase_Main2", 1, 1, 1
14, 1062 , "Phase_Combat", 1, 1, 2
13, 1062 , "Phase_Combat", 1, 1, 1
12, 1062 , "Phase_Combat", 1, 1, 2
11, 1062 , "Phase_Combat", 1, 1, 1
10, 1062 , "Phase_Combat", 1, 1, 2
9, 1062 , "Phase_Combat", 1, 1, 1
8, 1062 , "Phase_Main1", 1, 1, 2
27, 29938 , "Phase_Combat", 2, 2, 1
26, 29938 , "Phase_Combat", 2, 2, 2
25, 29938 , "Phase_Main1", 2, 2, 1
28, 32582 , "Phase_Combat", 2, 2, 2
35, 32583 , "Phase_Ending", 2, 2, 1
34, 32583 , "Phase_Ending", 2, 2, 2
33, 32583 , "Phase_Main2", 2, 2, 1
32, 32583 , "Phase_Main2", 2, 2, 2
31, 32583 , "Phase_Combat", 2, 2, 1
30, 32583 , "Phase_Combat", 2, 2, 2
29, 32583 , "Phase_Combat", 2, 2, 1
28, 32583 , "Phase_Combat", 2, 2, 2
40, 38599 , "Phase_Main1", 3, 1, 1
39, 38599 , "Phase_Beginning", 3, 1, 2
38, 38599 , "Phase_Beginning", 3, 1, 1
37, 38599 , "Phase_Beginning", 3, 1, 2
60, 7077 , "Phase_Main1", 4, 2, 2
59, 7077 , "Phase_Beginning", 4, 2, 1
58, 7077 , "Phase_Beginning", 4, 2, 2
57, 7077 , "Phase_Beginning", 4, 2, 1
55, 7077 , "Phase_Ending", 3, 1, 2
54, 7077 , "Phase_Ending", 3, 1, 1
53, 7077 , "Phase_Main2", 3, 1, 2
52, 7077 , "Phase_Main2", 3, 1, 1
51, 7077 , "Phase_Combat", 3, 1, 2
50, 7077 , "Phase_Combat", 3, 1, 1
49, 7077 , "Phase_Combat", 3, 1, 2
48, 7077 , "Phase_Combat", 3, 1, 1
47, 7077 , "Phase_Combat", 3, 1, 2
46, 7077 , "Phase_Combat", 3, 1, 1
45, 7077 , "Phase_Main1", 3, 1, 2
44, 7077 , "Phase_Main1", 3, 1, 1
43, 7077 , "Phase_Main1", 3, 1, 2
80, 42309 , "Phase_Main1", 5, 1, 1
79, 42309 , "Phase_Beginning", 5, 1, 2
78, 42309 , "Phase_Beginning", 5, 1, 1
77, 42309 , "Phase_Beginning", 5, 1, 2
75, 42309 , "Phase_Ending", 4, 2, 1
74, 42309 , "Phase_Ending", 4, 2, 2
73, 42309 , "Phase_Main2", 4, 2, 1
72, 42309 , "Phase_Main2", 4, 2, 2
71, 42309 , "Phase_Combat", 4, 2, 1
70, 42309 , "Phase_Combat", 4, 2, 2
69, 42309 , "Phase_Combat", 4, 2, 1
68, 42309 , "Phase_Combat", 4, 2, 2
67, 42309 , "Phase_Combat", 4, 2, 1
66, 42309 , "Phase_Combat", 4, 2, 2
65, 42309 , "Phase_Main1", 4, 2, 1
64, 42309 , "Phase_Main1", 4, 2, 2
63, 42309 , "Phase_Main1", 4, 2, 1
81, 63878 , "Phase_Main1", 5, 1, 2
84, 63879 , "Phase_Combat", 5, 1, 1
83, 63879 , "Phase_Combat", 5, 1, 2
82, 63879 , "Phase_Combat", 5, 1, 1
81, 63879 , "Phase_Main1", 5, 1, 2
86, 64971 , "Phase_Combat", 5, 1, 1
87, 65504 , "Phase_Combat", 5, 1, 2
88, 13639 , "Phase_Combat", 5, 1, 1
87, 13639 , "Phase_Combat", 5, 1, 2
89, 65505 , "Phase_Combat", 5, 1, 1
89, 15405 , "Phase_Combat", 5, 1, 1
90, 66577 , "Phase_Combat", 5, 1, 2
95, 66578 , "Phase_Main2", 5, 1, 1
94, 66578 , "Phase_Combat", 5, 1, 2
93, 66578 , "Phase_Combat", 5, 1, 1
92, 66578 , "Phase_Combat", 5, 1, 2
90, 66578 , "Phase_Combat", 5, 1, 2
106, 15406 , "Phase_Main1", 6, 2, 2
105, 15406 , "Phase_Beginning", 6, 2, 1
104, 15406 , "Phase_Beginning", 6, 2, 2
103, 15406 , "Phase_Beginning", 6, 2, 1
101, 15406 , "Phase_Ending", 5, 1, 2
100, 15406 , "Phase_Ending", 5, 1, 1
99, 15406 , "Phase_Main2", 5, 1, 2
98, 15406 , "Phase_Main2", 5, 1, 1
97, 15406 , "Phase_Main2", 5, 1, 2
116, 27885 , "Phase_Combat", 6, 2, 2
115, 27885 , "Phase_Combat", 6, 2, 1
114, 27885 , "Phase_Combat", 6, 2, 2
113, 27885 , "Phase_Combat", 6, 2, 1
112, 27885 , "Phase_Combat", 6, 2, 2
111, 27885 , "Phase_Main1", 6, 2, 1
110, 27885 , "Phase_Main1", 6, 2, 2
109, 27885 , "Phase_Main1", 6, 2, 1
129, 68179 , "Phase_Main1", 7, 1, 1
128, 68179 , "Phase_Beginning", 7, 1, 2
127, 68179 , "Phase_Beginning", 7, 1, 1
126, 68179 , "Phase_Beginning", 7, 1, 2
124, 68179 , "Phase_Ending", 6, 2, 1
123, 68179 , "Phase_Ending", 6, 2, 2
122, 68179 , "Phase_Main2", 6, 2, 1
121, 68179 , "Phase_Main2", 6, 2, 2
120, 68179 , "Phase_Combat", 6, 2, 1
119, 68179 , "Phase_Combat", 6, 2, 2
118, 68179 , "Phase_Combat", 6, 2, 1
141, 84635 , "Phase_Main1", 7, 1, 2
140, 84635 , "Phase_Main1", 7, 1, 1
139, 84635 , "Phase_Main1", 7, 1, 2
137, 84635 , "Phase_Main1", 7, 1, 2
135, 84635 , "Phase_Main1", 7, 1, 2
