State,elapsedMs,turnNumber,activePlayer
6, 25261 , 1, 1
6, 25261 , 1, 1
5, 25261 , 1, 1
5, 25261 , 1, 1
8, 29937 , 1, 1
8, 29937 , 1, 1
23, 1062 , 2, 2
23, 1062 , 2, 2
22, 1062 , 2, 2
22, 1062 , 2, 2
21, 1062 , 2, 2
21, 1062 , 2, 2
20, 1062 , 2, 2
20, 1062 , 2, 2
18, 1062 , 1, 1
18, 1062 , 1, 1
18, 1062 , 1, 1
17, 1062 , 1, 1
17, 1062 , 1, 1
16, 1062 , 1, 1
16, 1062 , 1, 1
15, 1062 , 1, 1
15, 1062 , 1, 1
14, 1062 , 1, 1
14, 1062 , 1, 1
13, 1062 , 1, 1
13, 1062 , 1, 1
12, 1062 , 1, 1
12, 1062 , 1, 1
11, 1062 , 1, 1
11, 1062 , 1, 1
10, 1062 , 1, 1
10, 1062 , 1, 1
9, 1062 , 1, 1
9, 1062 , 1, 1
8, 1062 , 1, 1
8, 1062 , 1, 1
27, 29938 , 2, 2
27, 29938 , 2, 2
26, 29938 , 2, 2
26, 29938 , 2, 2
25, 29938 , 2, 2
25, 29938 , 2, 2
28, 32582 , 2, 2
28, 32582 , 2, 2
35, 32583 , 2, 2
35, 32583 , 2, 2
34, 32583 , 2, 2
34, 32583 , 2, 2
33, 32583 , 2, 2
33, 32583 , 2, 2
32, 32583 , 2, 2
32, 32583 , 2, 2
31, 32583 , 2, 2
31, 32583 , 2, 2
30, 32583 , 2, 2
30, 32583 , 2, 2
29, 32583 , 2, 2
29, 32583 , 2, 2
28, 32583 , 2, 2
28, 32583 , 2, 2
40, 38599 , 3, 1
40, 38599 , 3, 1
39, 38599 , 3, 1
39, 38599 , 3, 1
38, 38599 , 3, 1
38, 38599 , 3, 1
37, 38599 , 3, 1
37, 38599 , 3, 1
60, 7077 , 4, 2
60, 7077 , 4, 2
59, 7077 , 4, 2
59, 7077 , 4, 2
58, 7077 , 4, 2
58, 7077 , 4, 2
57, 7077 , 4, 2
57, 7077 , 4, 2
55, 7077 , 3, 1
55, 7077 , 3, 1
54, 7077 , 3, 1
54, 7077 , 3, 1
53, 7077 , 3, 1
53, 7077 , 3, 1
52, 7077 , 3, 1
52, 7077 , 3, 1
51, 7077 , 3, 1
51, 7077 , 3, 1
50, 7077 , 3, 1
50, 7077 , 3, 1
49, 7077 , 3, 1
49, 7077 , 3, 1
48, 7077 , 3, 1
48, 7077 , 3, 1
47, 7077 , 3, 1
47, 7077 , 3, 1
46, 7077 , 3, 1
46, 7077 , 3, 1
45, 7077 , 3, 1
45, 7077 , 3, 1
44, 7077 , 3, 1
44, 7077 , 3, 1
43, 7077 , 3, 1
43, 7077 , 3, 1
